mean_expression,gen_bank
14.4929133795,NM_001402
14.4870800037,NM_003295
14.4595430197,NM_001402
14.4484365345,NM_001402
14.4483074008,NM_001035267
14.4378733047,XM_937850
14.4152463631,NM_002116
14.4073517021,XM_376420
14.4059541942,NM_021109
14.4009915211,NM_001033930
14.3894791442,NM_021009
14.3530435819,NM_001016
14.3481505681,NM_001032
14.3425495067,NM_001080822
14.3377577978,XM_940585
14.332032302,NM_000517
14.3311363708,XM_939484
14.3280770874,XM_934931
14.3275616834,XM_940693
14.3227571612,XM_001722500
14.3218380074,XR_041075
14.3178758089,NM_000518
14.3142980163,NM_001089587
14.3134989853,NM_001030
14.3080535509,NM_014321
14.3046489536,NM_001992
14.3043451596,XR_038543
14.3024967686,XR_038652
14.3011786637,XM_938181
14.2967108158,NM_006098
14.2934877755,NM_021706
14.2930514326,XM_001726716
14.2921228725,XR_038623
14.2799247899,NR_002568
14.2780919961,XM_001713658
14.2779397561,NM_000146
14.2776218764,NM_004152
14.260076731,XR_038221
14.2594154634,XM_936430
14.2590622125,NM_000146
14.2590042983,XM_929431
14.2589445096,XM_001717715
14.2579354997,NM_006472
14.255762496,XR_039411
14.2546281551,NM_001007074
14.2524201604,XM_939484
14.2500438546,XM_936874
14.2436630701,XM_941610
14.2424209109,XM_001719642
14.2421797806,NR_002184
14.2331344236,NM_001101
14.2302355793,NM_001101
14.226186358,NM_002965
14.2247815126,NM_001003
14.2229625492,XM_001713723
14.2227990581,XR_018917
14.2218558578,NM_001004
14.2177619784,NM_005707
14.2165379053,NM_001039891
14.2160892209,NM_000211
14.2154173113,NM_000979
14.2146127663,XM_370681
14.2138636856,NM_001035258
14.2121034312,XM_001721328
14.2115733167,NM_005687
14.2110920766,NM_001024662
14.210163115,NM_002964
14.2093424605,NM_001032
14.2067637919,XR_019269
14.1982929461,NM_014719
14.1960719174,NM_145042
14.1903371148,XR_037361
14.1885270417,XR_015303
14.1884537454,NM_001028
14.1867446643,NR_003573
14.1853900166,XR_041978
14.1760912573,NM_000211
14.174440275,NM_000999
14.1731949278,XR_017667
14.16971651,XM_001723745
14.1691690113,NM_024793
14.1688096586,XR_015414
14.167185585,NM_000975
14.1669018858,XR_041433
14.1626681486,NM_021009
14.1591109863,XR_038862
14.1565542217,NM_001015
14.1550099522,NM_001614
14.1544768049,NM_004048
14.1539252283,NM_001014373
14.1534933513,XM_001722437
14.1509034536,XR_041500
14.1503913996,NM_000980
14.1433065555,XM_928866
14.1393090319,XR_017634
14.1391563681,XM_001723239
14.1343993928,XR_017675
14.1322646383,NM_000980
14.1315330668,NM_002954
14.1311146424,XM_941155
14.128746107,XM_941396
14.1281470971,XR_018338
14.1277180383,NM_000980
14.1272259905,XM_942424
14.1265729581,NM_000990
14.1227893919,XR_039577
14.1173463384,XR_039144
14.1156788737,XR_017407
14.1147028709,NM_001020
14.1136258616,NR_002594
14.1128793854,XM_496442
14.1108014398,XM_001713654
14.1092450681,XR_017157
14.1041705613,XR_038602
14.103126969,XM_001131315
14.1005662568,NM_001001851
14.099477967,XM_928156
14.0993559617,NM_022098
14.0947014708,NM_001022
14.0894156997,NM_019111
14.0856308502,NM_031409
14.0812451461,NM_021103
14.0779264942,XR_018751
14.0773118342,NM_001010
14.0748292492,NM_001021
14.0736911565,NM_173607
14.0690565218,NM_006864
14.0678594139,NM_001025070
14.0668008877,NM_001029989
14.065326388,NM_000975
14.06228555,NM_005022
14.061216181,NM_002439
14.0561219869,NM_004850
14.0538682773,NM_001030
14.0535119187,XM_001718435
14.0533638979,XR_015517
14.0461624803,XR_038820
14.0429708281,NM_001001561
14.0421660153,NR_002715
14.0408852748,XM_001134072
14.0397438471,XM_001715643
14.0360755892,XM_928180
14.0356234099,XR_038490
14.0353703545,NM_001080544
14.0300027689,NM_001014
14.0287008059,NM_000998
14.0246945576,XM_001713724
14.0219645264,XM_001725102
14.0210034392,NM_001080499
14.0205451329,XR_040304
14.0195476356,NM_000981
14.0090995839,NM_001080831
14.0021379142,NM_001023
13.9969565015,NM_000517
13.9882656291,NM_005497
13.9862481883,NM_144618
13.9861375811,XM_001732837
13.9853934727,NM_002003
13.9827240011,NM_005514
13.9797668936,XM_208185
13.9778417413,XR_039484
13.9765862851,XR_039238
13.9734423122,NM_002107
13.972795786,NM_001005472
13.9711264081,NM_005594
13.9705142573,NR_001434
13.9667283943,NM_004379
13.9638136003,NM_001040021
13.9601330898,XR_018261
13.9572997724,XR_018616
13.95388836,XR_017484
13.9462946408,XM_940289
13.944465469,NM_001175
13.9440323492,NM_001030009
13.9366029132,XM_944104
13.9365793377,XR_040892
13.9363068651,XM_942424
13.9302342598,NM_002298
13.9278059691,XR_038953
13.9247554374,NM_001099771
13.9177528722,XM_001718033
13.9159233523,NM_001089592
13.9157679291,NM_000923
13.9155188825,XR_038930
13.9066922764,XR_015449
13.8978306555,NM_001093758
13.8943384232,NM_000239
13.893638631,NM_001033853
13.8910229815,NM_001093779
13.8866405896,NM_005989
13.8845734346,NM_019554
13.8804283592,NM_004048
13.8793750867,XM_938623
13.8732466437,XR_017675
13.8721836364,XR_038296
13.8683922791,XR_016832
13.8659407849,NR_024462
13.8475751763,NM_017833
13.8435339685,NM_001025159
13.8402681031,NM_001042465
13.8396898336,NM_000099
13.8355743242,XR_017397
13.8320131547,NM_001039895
13.8293330979,XR_019077
13.818617443,NM_001093733
13.8158510416,XR_038490
13.8155009642,NM_000558
13.7982345329,NM_000989
13.7974038172,NM_001000
13.7972439019,NR_003288
13.7948508914,NM_213606
13.7939854551,NM_006731
13.7901848438,NM_025189
13.7770140171,NM_019554
13.7751586939,NM_001006
13.7702174508,NM_213725
13.7666179883,XR_016732
13.7566962021,NM_002778
13.7550043951,NM_033022
13.7489210009,XR_041102
13.7480606801,NM_001024921
13.7411599273,NM_024745
13.7391285024,XR_038205
13.7287175258,NR_002202
13.7247482796,NM_001093731
13.723146131,XR_015773
13.7223618869,XM_001719127
13.7215588438,NM_001030001
13.7204395419,NM_001006
13.7198508096,NM_021019
13.7195477908,NM_002295
13.7139456763,NR_002162
13.7068533545,NM_000996
13.7067234059,NM_033109
13.7060768511,XR_039451
13.7050150997,NM_002985
13.6927342127,NM_001562
13.6874912866,XM_001719793
